cmaEs	differentialEvolution	es-0.02	es-0.25	es-0.5	ga-0.02	ga-0.25	ga-0.5	pso
475	915	630	480	2880	2100	3600	9600	9600
475	2115	630	480	4080	2100	3600	9600	9600
475	1215	630	630	1980	2100	3100	9600	9600
665	1590	630	480	9930	2100	3100	9600	9600
570	1440	630	480	3030	2100	3100	9600	9600
570	1590	630	480	930	2100	3100	9600	9600
380	1365	630	630	4380	2600	3600	9600	9600
570	1965	630	480	4830	2100	3100	9600	9600
570	1665	630	630	9930	2100	3600	9600	9600
570	1365	630	630	8730	1600	3100	9600	9600
475	1365	630	480	3930	2100	3600	9600	9600
380	1815	630	480	9930	2100	3100	9600	9600
475	1815	630	480	7980	2100	2600	9600	9600
665	2565	780	630	8280	2100	3600	9600	9600
570	1140	630	480	1830	2100	3100	9600	9600
570	1515	630	480	5280	2100	3600	9600	9600
475	1815	630	630	3480	2100	3600	9600	9600
570	1965	630	480	8280	2100	3100	9600	9600
475	1590	630	480	7230	2100	3100	9600	9600
475	1965	630	480	1080	2100	3600	9600	9600
475	1140	630	630	2130	2100	2600	9600	9600
475	1290	630	480	5130	2100	3100	9600	9600
570	1965	630	630	1380	2100	3100	9600	9600
570	1590	630	480	6630	2100	3600	9600	9600
475	1515	630	480	1080	2100	3600	9600	9600
570	1740	630	480	3630	2100	3100	9600	9600
1425	8115	9930	2880	2130	9600	8100	6100	9600
1425	9090	9930	3030	2280	9600	8100	6100	9600
1520	8190	9780	2880	2130	9600	8100	6100	9600
1425	6690	9930	2880	2130	9600	8100	6100	9600
1425	7140	9930	3030	2130	9600	8100	6100	9600
1425	7140	9780	3030	2130	9600	8600	6100	9600
1520	7140	9930	3030	2130	9600	8600	6100	9600
1425	7965	9930	2880	2130	9600	8600	6600	9600
1520	7065	9930	2880	2130	9600	8100	6100	9600
1425	6990	9930	3030	2130	9600	8100	6600	9600
1615	7140	9930	3030	2280	9600	8600	6100	9600
1425	6240	9930	3030	2130	9600	8100	6100	9600
1520	9990	9930	3030	2280	9600	8100	6100	9600
1425	9465	9630	2880	2130	9600	8100	6100	9600
1425	9990	9930	2880	2130	9600	8100	6100	6600
1425	9990	9780	2880	2130	9600	8100	6100	9600
1520	7440	9930	2880	2130	9600	8100	6100	9600
1425	5865	9930	3030	2130	9600	8100	6100	9600
1425	9615	9780	2880	2130	9600	8100	6100	9600
1425	8190	9930	3030	2280	9600	8600	6100	9600
1425	9465	9930	3030	2280	9600	8100	6100	9600
1425	7215	9780	3030	2130	9600	8100	6100	9600
1425	8415	9780	2880	2130	9600	8100	6100	9600
1425	6915	9780	2880	2130	9600	8100	6100	9600
1520	9990	9930	2880	2130	9600	8600	6600	9600
1425	9165	9780	2880	2130	9600	8100	6100	9600
1425	8865	9780	3030	2130	9600	8100	6100	9600
1520	9390	9780	2880	2130	9600	8100	6100	9600
1330	9990	9780	3030	2130	9600	8100	6100	9600
1425	8715	9630	3030	2130	9600	8100	6100	9600
440	390	180	180	1080	600	2100	9600	9600
440	390	180	180	4380	600	2100	9600	9600
550	540	180	330	3630	600	1600	9600	9600
440	540	180	180	3630	600	2100	9600	9600
330	390	180	180	9930	600	2100	9600	9600
550	465	180	180	9930	600	2100	9600	9600
440	390	180	180	9930	600	3100	9600	9600
440	390	180	180	9930	600	2100	9600	7600
550	240	180	180	9930	600	1600	9600	9600
550	690	180	180	3630	600	1600	9600	9600
550	465	180	330	9930	600	2100	9600	9600
440	390	180	180	2730	600	3100	9600	9600
440	615	180	180	9930	600	2100	9600	600
550	315	180	180	8880	600	2600	9600	9600
550	390	180	180	3780	600	2100	9600	9600
330	240	180	180	9930	600	1600	9600	9600
440	615	180	180	6930	600	2100	9600	9600
440	540	180	180	9930	600	3100	9600	9600
660	390	180	180	3030	600	2100	9600	9600
440	315	180	180	9930	600	2100	9600	8600
440	540	180	180	3180	600	1600	9600	9600
440	765	180	180	8580	600	1600	9600	9600
550	465	180	180	1980	600	1600	9600	9600
440	690	180	180	6330	600	1600	9600	9600
440	315	180	180	5580	600	2600	9600	9600
550	390	180	180	6030	600	2100	9600	9600
440	240	180	180	1080	600	2100	9600	600
440	390	180	180	5880	600	2100	9600	9600
330	465	180	180	9930	600	2100	9600	9600
440	690	180	180	4680	600	2600	9600	9600
2090	9240	9330	2880	2130	9600	8600	6600	9600
2090	8340	9180	2880	2130	9600	8100	6100	9600
2090	9240	9180	2880	2130	9600	8100	6100	9600
2090	9990	9480	2880	2130	9600	8100	6100	9600
2200	9390	9480	2880	2130	9600	8100	6100	9600
2310	7290	9480	2880	2130	9600	8100	6100	9600
2090	9990	9330	2880	2130	9600	8100	6100	9600
2200	8265	9480	2880	2130	9600	8100	6100	9600
1980	9915	9480	2730	2130	9600	8100	6100	9600
2200	9990	9180	2880	1980	9600	8100	6100	9600
2200	8790	9330	2880	2130	9600	8100	6100	9600
2090	8490	9330	2880	2130	9600	8100	6600	9600
2090	9990	9330	2880	2130	9600	8100	6100	9600
2090	9990	9330	2730	1980	9600	7600	5600	9600
2200	8490	9330	2880	2130	9600	8100	6100	9600
2090	9690	9330	2730	1980	9600	8100	6100	9600
2200	8115	9330	2880	2130	9600	8100	6100	9600
2200	9990	9330	2880	2130	9600	8100	6100	9600
2090	9990	9330	2880	2130	9600	8100	6100	9600
2090	6990	9480	2880	2130	9600	8100	6600	9600
2090	7365	9630	2880	2130	9600	8100	6600	9600
2090	9990	9330	2880	2130	9600	8100	6100	9600
2090	8790	9330	2730	1980	9600	8100	6100	9600
2200	8865	9330	2880	2130	9600	8100	6100	9600
